备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001696,中文：银杏叶提取物片;英文/拉丁文：Extract of Ginkgo Biloba Leaves Tablets,国药准字HJ20140768 国药准字HJ20170088,中文名称：德国威玛舒培博士药厂;英文名称：Dr. Willmar Schwabe GmbH & Co. KG,"Willmar-Schwabe-Street 4, D-76227 Karlsruhe, Germany",中文名称：德国威玛舒培博士药厂;英文名称：Dr. Willmar Schwabe GmbH & Co. KG,Dr. Willmar Schwabe GmbH & Co. KG,森世海亚健康科技（上海）有限公司,上海市虹口区吴淞路218号30楼02B室,去除薄膜包衣的辅料着色剂二氧化钛（TiO₂）。,2025-07-09,国家药品监督管理局药品审评中心,已备案
国备2025001723,中文：依瑞奈尤单抗注射液;英文/拉丁文：Erenumab Injection,国药准字SJ20230014,中文名称：无;英文名称：Novartis Europharm Limited,"Vista Building, Elm Park, Merrion Road, Dublin 4, Ireland",中文名称：无;英文名称：Amgen Manufacturing Limited LLC,"State Road 31, Km 24.6 Juncos, Puerto Rico, 00777-4060, United States",北京诺华制药有限公司,北京市昌平区永安路31号,1. 增加用于组装的SureClicks自动注射笔装置功能放行和稳定性检测的替代半自动试验机；2. 优化当前批准的用于原液过程中控制检测的支原体方法；3. 根据CDE 2025年5月9日发布的共性问题，说明书中不再保留【境内联系人】。,2025-07-11,国家药品监督管理局药品审评中心,已备案
国备2025001590,中文：达可替尼片;英文/拉丁文：Dacomitinib Tablets,H20190037,中文名称：无;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17, 1050 Bruxelles, Belgium",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,1.更新生产厂地址名称，对说明书和包装标签等文件进行相应更新；2.在说明书中增加境内责任人相关信息。,2025-06-28,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001761,中文：环孢素滴眼液（Ⅲ）;英文/拉丁文：Ciclosporin Eye Drops（Ⅲ）,国药准字HJ20220043,中文名称：无;英文名称：Santen Oy,"Niittyhaankatu 20,33720 Tampere,Finland",中文名称：无;英文名称：EXCELVISION,"27 rue de la Lombardière, ZI la Lombardière, 07100 Annonay, France",参天制药（中国）有限公司,苏州工业园区汀兰巷169号,变更内标签（瓶贴）的标签粘合剂以及印刷中使用的油墨成份。,2025-07-16,国家药品监督管理局药品审评中心,已备案
国备2025001754,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255007,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"增加替尔泊肽注射液多剂量预装笔式注射器的组装、包装厂。增加包装厂后，本品的包装厂信息如下：
【包装厂】
企业名称：Eli Lilly Italia S.p.A.
包装厂地址：V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy

企业名称：Lilly France
包装厂地址：2, rue du Colonel Lilly 67640 Fegersheim, France

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-07-16,国家药品监督管理局药品审评中心,已备案
国备2025001755,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255006,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"增加替尔泊肽注射液多剂量预装笔式注射器的组装、包装厂。增加包装厂后，本品的包装厂信息如下：
【包装厂】
企业名称：Eli Lilly Italia S.p.A.
包装厂地址：V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy

企业名称：Lilly France
包装厂地址：2, rue du Colonel Lilly 67640 Fegersheim, France

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-07-16,国家药品监督管理局药品审评中心,已备案
国备2025001756,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255005,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"增加替尔泊肽注射液多剂量预装笔式注射器的组装、包装厂。增加包装厂后，本品的包装厂信息如下：
【包装厂】
企业名称：Eli Lilly Italia S.p.A.
包装厂地址：V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy

企业名称：Lilly France
包装厂地址：2, rue du Colonel Lilly 67640 Fegersheim, France

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-07-16,国家药品监督管理局药品审评中心,已备案
国备2025001757,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255004,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"增加替尔泊肽注射液多剂量预装笔式注射器的组装、包装厂。增加包装厂后，本品的包装厂信息如下：
【包装厂】
企业名称：Eli Lilly Italia S.p.A.
包装厂地址：V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy

企业名称：Lilly France
包装厂地址：2, rue du Colonel Lilly 67640 Fegersheim, France

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-07-16,国家药品监督管理局药品审评中心,已备案
国备2025001582,中文：他达拉非片;英文/拉丁文：Tadalafil Tablets,国药准字HJ20250013,中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla (V), Quthbullapur (M), Medchal-Malkajgiri (Dist.), 500 055, Telangana State, India",中文名称：/;英文名称：Hetero Labs Limited,"Unit-III, 22-110, I.D.A, Jeedimetla (V), Quthbullapur (M), Medchal-Malkajgiri (Dist.), 500 055, Telangana State, India",熙德隆药业（北京）有限公司,北京市朝阳区望京东园四区6号楼27层2701号05,"1.说明书修订内容：增加注册商标、一致性评价标识、“HETERO”Logo、药品代码条形码；完善执行标准、批准文号和核准日期信息；修订【包装】项下内容；变更【境内联系人】为【境内责任人】并同时变更其注册地址，优化排版。
2.内标签修订内容：增加注册商标、“HETERO”Logo、生产许可证号信息、药品代码信息、英文名称；删除生产日期；完善【贮藏】项下内容；优化排版。
3.包装盒标签修订内容：增加注册商标、一致性评价标识、“HETERO”Logo、境内责任人信息、生产许可证号信息、药品代码信息、商品编码条形码信息、批准文号信息；增加“药品识别码，序列号，药品追溯码，支付宝扫一扫”并印药品追溯码，药品识别码和序列号；将【上市许可持有人】【生产企业】信息合并为一条，并将其项下的“企业名称”“生产地址”变更为“名称”“地址”；将“数量（板数×每板数量）片”变更为“数量片”；优化排版。
4.增加“每板7片，每盒4板；每板7片，每盒2板；每板7片，每盒1板”的包装规格，对说明书【包装】项下内容进行相应修订，同时增加内标签和包装盒标签设计。",2025-06-28,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001591,中文：达可替尼片;英文/拉丁文：Dacomitinib Tablets,H20190036,中文名称：无;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17, 1050 Bruxelles, Belgium",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,1.更新生产厂地址名称，对说明书和包装标签等文件进行相应更新；2.在说明书中增加境内责任人相关信息。,2025-06-28,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
