备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025002865,中文：京都念慈菴蜜炼川贝枇杷膏;英文/拉丁文：---,ZC20160006,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界荃湾德士古道256-264号德士古道工业中心A座4楼、5楼、12楼、14楼、16楼,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界元朗元朗工业邨宏利街50号京都念慈菴中心,慈恩医药（深圳）有限公司,深圳市福田区福保街道石厦北二街西路新天世纪商务中心第一栋A座31层3102号房,申请江门敬记塑胶厂有限公司生产的口服液体药用聚丙烯黑色瓶盖（登记号：B20200001205）作为“上市制剂使用的包材”,2025-11-06,国家药品监督管理局药品审评中心,已备案
国备2025002872,中文：京都念慈菴蜜炼川贝枇杷膏;英文/拉丁文：---,ZC20160004,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界荃湾德士古道256-264号德士古道工业中心A座4楼、5楼、12楼、14楼、16楼,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界元朗元朗工业邨宏利街50号京都念慈菴中心,慈恩医药（深圳）有限公司,深圳市福田区福保街道石厦北二街西路新天世纪商务中心第一栋A座31层3102号房,申请江门敬记塑胶厂有限公司生产的口服液体药用低密度聚乙烯内塞（登记号：B20200001202）作为“上市制剂使用的包材”,2025-11-06,国家药品监督管理局药品审评中心,已备案
国备2025002871,中文：京都念慈菴蜜炼川贝枇杷膏;英文/拉丁文：---,ZC20160005,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界荃湾德士古道256-264号德士古道工业中心A座4楼、5楼、12楼、14楼、16楼,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界元朗元朗工业邨宏利街50号京都念慈菴中心,慈恩医药（深圳）有限公司,深圳市福田区福保街道石厦北二街西路新天世纪商务中心第一栋A座31层3102号房,申请江门敬记塑胶厂有限公司生产的口服液体药用低密度聚乙烯内塞（登记号：B20200001202）作为“上市制剂使用的包材”,2025-11-06,国家药品监督管理局药品审评中心,已备案
国备2025002869,中文：京都念慈菴蜜炼川贝枇杷膏;英文/拉丁文：---,ZC20160006,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界荃湾德士古道256-264号德士古道工业中心A座4楼、5楼、12楼、14楼、16楼,中文名称：京都念慈菴总厂有限公司;英文名称：NIN JIOM MEDICINE MANUFACTORY (HONG KONG) LIMITED,香港新界元朗元朗工业邨宏利街50号京都念慈菴中心,慈恩医药（深圳）有限公司,深圳市福田区福保街道石厦北二街西路新天世纪商务中心第一栋A座31层3102号房,申请江门敬记塑胶厂有限公司生产的口服液体药用低密度聚乙烯内塞（登记号：B20200001202）作为“上市制剂使用的包材”,2025-11-06,国家药品监督管理局药品审评中心,已备案
Y国备2025003013,中文：硫酸钠;英文/拉丁文：Sodium Sulfate,Y20210000825,"中文名称：/;英文名称：Takasugi Pharmaceutical Co.,Ltd.","2-7-26 Yoshizuka,Hakata-ku,Fukuoka City,Fukuoka ,Japan","中文名称：/;英文名称：Takasugi Pharmaceutical Co.,Ltd.","2617,Nakabaru,Kasuya-machi,Kasuya-gun,Fukuoka 811-2304,Japan",深圳万和制药有限公司,深圳市光明新区凤凰街道汇通路7号万和科技大厦,"本品原申请人及生产企业名称由"" Takasugi Pharmaceutical Co,Ltd""变更为""Takasugi Pharmaceutical Co.,Ltd.""，标签、质量标准及生产工艺信息表相应变更。",2025-11-22,国家药品监督管理局药品审评中心,已备案
国备2025002873,中文：盐酸氮卓斯汀滴眼液;英文/拉丁文：Azelastine Hydrochloride Eye Drops,国药准字HJ20171048,中文名称：/;英文名称：Viatris Healthcare GmbH,"Luetticher Strasse 5, 53842 Troisdorf, Germany",中文名称：/;英文名称：Tubilux Pharma S.p.A.,"Via Costarica 20/22, 00071 Pomezia/Rome, Italy",晖致医药有限公司,上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元,变更本品注册代理机构的注册地址，由“上海市静安区新闸路669号46层（名义楼层）”变更为“上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元”。仅注册地址变更，注册代理机构名称不变。,2025-11-06,国家药品监督管理局药品审评中心,已备案
国备2025002859,中文：盐酸菲优拉生片;英文/拉丁文：Fexuprazan Hydrochloride Tablets,2025S02650,"中文名称：——;英文名称：Daewoong Pharmaceutical Co., Ltd.","1, Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","中文名称：——;英文名称：Daewoong Pharmaceutical Co., Ltd.","1, Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",北京大熊伟业医药科技有限公司,北京市朝阳区东三环北路38号院4号楼3层301-L301-5号,根据国家药监局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》公告（2024 年第137 号），在本品说明书中增加“境内责任人］”信息，同时删除“［境内联系人］项。,2025-11-05,国家药品监督管理局药品审评中心,已备案
国备2025002862,中文：兰索拉唑口崩片;英文/拉丁文：Lansoprazole Orally Disintegrating Tablets,国药准字HJ20250115,中文名称：----;英文名称：Dr. Reddy's Laboratories Limited,"FTO-SEZ PU-01, Sy No 57 to 59,60,62 & 72,Sc No 9 to14 &17 to 20, Devunipalavalasa Village, Ranasthalam Mandal, Srikakulam District, Andhra Pradesh 532409 INDIA",中文名称：----;英文名称：Dr. Reddy's Laboratories Limited,"FTO-SEZ PU-01, Sy No 57 to 59,60,62 & 72,Sc No 9 to14 &17 to 20, Devunipalavalasa Village, Ranasthalam Mandal, Srikakulam District, Andhra Pradesh 532409 INDIA",中寰医药有限公司,福建省闽侯县上街镇高新大道7号福汽集团大楼主楼第11层整层,在已批准的包装规格10片/板，10板/盒基础上增加10片/板，1板/盒包装规格。,2025-11-05,国家药品监督管理局药品审评中心,已备案
国备2025002962,中文：非那雄胺喷雾剂;英文/拉丁文：Finasteride Spray,国药准字HJ20250079,中文名称：/;英文名称：Polichem S.A.,"50, Val Fleuri L-1526 Luxembourg",中文名称：/;英文名称：Almirall Hermal GmbH,"Scholtzstraβe 1and 3 21465 Reinbek, Germany",科笛生物医药（无锡）有限公司,无锡市新吴区鸿山街道鸿运南路27-2、27-4,本次备案为对本品质量标准进行描述性变更，即药品注册标准中“中国药典2020年版”变更为“中国药典2025年版”，其余均无变化。,2025-11-18,国家药品监督管理局药品审评中心,已备案
国备2025002989,中文：注射用阿奇霉素;英文/拉丁文：Azithromycin for Injection,国药准字HJ20140685,中文名称：无;英文名称：Pfizer Inc.,"66 Hudson Boulevard East, New York, NY 10001 United States of America",中文名称：无;英文名称：Pharmacia & Upjohn Company LLC,"7000 Portage Road, Kalamazoo, Michigan 49001 USA",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,将本品批准文件备注项由‘本品仅供晖致制药（大连）有限公司分包装生产用。’变更为‘本品仅供辉瑞制药（无锡）有限公司分包装生产用。’。,2025-11-20,国家药品监督管理局药品审评中心,已备案
Y国备2025003006,中文：地高辛;英文/拉丁文：Digoxin,Y20200001362,中文名称：C-squared PHARMA Limited;英文名称：C-squared PHARMA Limited,"Bridge House, Unit 2, Skehard Road, Ireland-Tl2 H2TK Cork",中文名称：NOBILUS ENT;英文名称：NOBILUS ENT,"Metalowa 6a, 99-300 Kutno, Poland",北京科威利华科技有限公司,北京市朝阳区东四环中路60号楼24层2406,"将原料药地高辛产品标签上的申请人信息由C-squared PHARMA S.à r.l. 地址：270, Rue de Neudorf, Luxembourg, L-2222 Luxembourg 变更为C-squared PHARMA Limited 地址：Bridge House, Unit 2, Skehard Road, Ireland-T12 H2TK Cork.",2025-11-21,国家药品监督管理局药品审评中心,已备案
