备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001181,中文：阿贝西利片;英文/拉丁文：Abemaciclib Tablets,国药准字HJ20200069,中文名称：----;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528BJ Utrecht, The Netherlands",中文名称：----;英文名称：Lilly del Caribe Inc.,"12.6 KM 65th Infantry Road, Carolina, Puerto Rico 00985",礼来苏州制药有限公司,苏州工业园区方中街109号,备案本品制剂相关药学变更，同时相应更新本品生产工艺信息表：1.在已获批的生产场地新增制剂生产线。2.新增预混合设备，以及继发变更。,2025-05-24,国家药品监督管理局药品审评中心,已备案
国备2025001180,中文：阿贝西利片;英文/拉丁文：Abemaciclib Tablets,国药准字HJ20200067,中文名称：----;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528BJ Utrecht, The Netherlands",中文名称：----;英文名称：Lilly del Caribe Inc.,"12.6 KM 65th Infantry Road, Carolina, Puerto Rico 00985",礼来苏州制药有限公司,苏州工业园区方中街109号,备案本品制剂相关药学变更，同时相应更新本品生产工艺信息表：1.在已获批的生产场地新增制剂生产线。2.新增预混合设备，以及继发变更。,2025-05-24,国家药品监督管理局药品审评中心,已备案
国备2025001112,中文：盐酸哌甲酯缓释咀嚼片;英文/拉丁文：Methylphenidate Hydrochloride Extended-release Chewable Tablets,国药准字HJ20230143,"中文名称：无;英文名称：NextWave Pharmaceuticals Inc, a subsidiary of Tris Pharma Inc","2033 Us Highway 130, Monmouth Junction, NJ 08852 United States of America","中文名称：无;英文名称：Tris Pharma, Inc.","2033 US 130, Monmouth Junction, NJ 08852 United States of America",祐儿医药科技（上海）有限公司,中国（上海）自由贸易试验区张江路665号三层,1.删除药品说明书中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司，注册地址：中国（上海）自由贸易试验区张江路665号三层，邮政编码：201210，联系方式：400-965-8021，网址：https://www.pediatrixtherapeutics.com/ 2.删除药品包装内标签中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司。 3.删除药品包装外标签中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司，注册地址为中国（上海）自由贸易试验区张江路665号三层。,2025-05-22,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001130,中文：甲氧聚二醇重组人促红素注射液;英文/拉丁文：Methoxy Polyethylene Glycol-Epoetin Beta Injection,国药准字SJ20180007,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,设定细胞培养基中组分硫酸亚铁七水合物 锰含量的下限，并引入富含锰 的干燥硫酸亚铁 作为硫酸亚铁七水合物 的可替代原材料,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001129,中文：甲氧聚二醇重组人促红素注射液;英文/拉丁文：Methoxy Polyethylene Glycol-Epoetin Beta Injection,国药准字SJ20180006,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,设定细胞培养基中组分硫酸亚铁七水合物 锰含量的下限，并引入富含锰 的干燥硫酸亚铁 作为硫酸亚铁七水合物 的可替代原材料,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001128,中文：甲氧聚二醇重组人促红素注射液;英文/拉丁文：Methoxy Polyethylene Glycol-Epoetin Beta Injection,国药准字SJ20180005,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,设定细胞培养基中组分硫酸亚铁七水合物 锰含量的下限，并引入富含锰 的干燥硫酸亚铁 作为硫酸亚铁七水合物 的可替代原材料,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001123,中文：甲氧聚二醇重组人促红素注射液;英文/拉丁文：Methoxy Polyethylene Glycol-Epoetin Beta Injection,国药准字SJ20180004,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,设定细胞培养基中组分硫酸亚铁七水合物 锰含量的下限，并引入富含锰 的干燥硫酸亚铁 作为硫酸亚铁七水合物 的可替代原材料,2025-05-22,国家药品监督管理局药品审评中心,已备案
国备2025001295,中文：复方枸橼酸阿尔维林软胶囊;英文/拉丁文：Compound Alverine Citrate Soft Capsules,国药准字HJ20140964,中文名称：/;英文名称：Laboratoires MAYOLY SPINDLER,"6, Avenue de l' Europe B.P.51 78401 CHATOU CEDEX France",中文名称：/;英文名称：Laboratoires GALENIQUES VERNIN,"20, rue Louis-Charles Vernin 77190 Dammarie-les-Lys France",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,"根据法国药品管理机构出具的药品证书，变更本品《药品再注册批准通知书（通知书编号：2024S05264）》中载明的生产企业信息，包括：生产企业名称由“Laboratoires MAYOLY SPINDLER”变更为“Laboratoires GALENIQUES VERNIN”，生产企业地址由“6, Avenue de l' Europe B.P.51 78401 CHATOU CEDEX France”变更为“20, rue Louis-Charles Vernin 77190 Dammarie-les-Lys France”，实际生产企业名称和地址未变更，并同时修订本品注册标准（标准号：JX20240116）、药品说明书和标签中相应内容。",2025-06-05,国家药品监督管理局药品审评中心,已备案
国备2025001969,中文：白消安注射液;英文/拉丁文：Busulfan Injection,国药准字HJ20170308,"中文名称：无;英文名称：Otsuka Pharmaceutical Co., Ltd.","2-9, Kanda-Tsukasamachi, Chiyoda-ku, Tokyo, Japan",中文名称：无;英文名称：Baxter Oncology GmbH,"Kantstrasse 2, 33790 Halle/Westfalen, Germany",浙江大冢制药有限公司,浙江省杭州市临安区锦南街道上卦畈1号,申请将进口药品白消安注射液所用原料药的生产厂名称由“Ash Stevens LLC”变更为“PPL Pharma Solutions Riverview LLC”，仅变更厂名，不涉及原料药产地变更。,2025-08-13,国家药品监督管理局药品审评中心,已备案
Y国备2025001334,中文：己酮可可碱;英文/拉丁文：Pentoxifylline,Y20210000649,中文名称：FLEMING LABORATORIES LTD;英文名称：FLEMING LABORATORIES LTD,"Survey No. 270, Nawabpet Village, Shivampet Mandal, Medak District, Pincode 502313, Telangana State, India",中文名称：;英文名称：,,上海信汇国际贸易有限公司,中国（上海）自由贸易试验区基隆路1号9层915-2室,申请变更有效期：从原来的36个月变为48个月。,2025-06-07,国家药品监督管理局药品审评中心,已备案
国备2025001115,中文：盐酸哌甲酯缓释干混悬剂;英文/拉丁文：Methylphenidate Hydrochloride for Sustained-release Suspension,国药准字HJ20230150,"中文名称：无;英文名称：NextWave Pharmaceuticals Inc, a subsidiary of Tris Pharma Inc","2033 Us Highway 130, Monmouth Junction, NJ 08852 United States of America","中文名称：无;英文名称：Tris Pharma, Inc.","2033 US 130, Monmouth Junction, NJ 08852 United States of America",祐儿医药科技（上海）有限公司,中国（上海）自由贸易试验区张江路665号三层,1.删除药品说明书中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司，注册地址：中国（上海）自由贸易试验区张江路665号三层，邮政编码：201210，联系方式：400-965-8021，网址：https://www.pediatrixtherapeutics.com/ 2.删除药品包装内标签中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司。 3.删除药品包装外标签中【境内联系人】项及其相关信息；增加【境内责任人】项：祐儿医药科技（上海）有限公司，注册地址为中国（上海）自由贸易试验区张江路665号三层。,2025-05-22,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001148,中文：重组人促红素-β注射液(CHO细胞);英文/拉丁文：Recombinant Human Erythropoietin β Injection (CHO Cell),国药准字SJ20171006,中文名称：/;英文名称：Roche Pharma (Schweiz) Ltd.,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：/;英文名称：Roche Diagnostics GmbH,"Sandhoferstrasse 116 68305 Mannheim, Germany",上海罗氏制药有限公司,中国（上海）自由贸易试验区龙东大道1100号,更新标准品标定和稳定性方案,2025-05-24,国家药品监督管理局药品审评中心,已备案
