备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
Y国备2025002095,中文：美沙拉秦（S级）;英文/拉丁文：Mesalazine (Grade S),Y20170000108,"中文名称：CAMBREX,KARLSKOGA AB;英文名称：CAMBREX,KARLSKOGA AB",Bjorkborns Industriomrade Sweden-69185 Karlskoga,"中文名称：Cambrex,Karlskoga AB;英文名称：Cambrex,Karlskoga AB",Bjorkborns Industriomrade Sweden-69185 Karlskoga,广州市桐晖药业有限公司,广州市黄埔区科学大道181号第十二层（仅限办公）,根据国家药监局关于实施2025年版《中华人民共和国药典》有关事宜的公告（2025年第32号），将美沙拉秦(S级） 注册标准（JX20190087）中引用的中国药典通则版本升级为2025年版。仅引用的药典通则升级，方法及限度等均不变。,2025-08-22,国家药品监督管理局药品审评中心,已备案
国备2025002753,中文：帕利哌酮缓释片;英文/拉丁文：Paliperidone Extended-Release Tablets,国药准字HJ20220014,中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Sun House, Plot No. 201 B/1, Western Express Highway, Goregaon (E), Mumbai, Maharashtra 400063 INDIA",中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra, U.T. of Dadra and Nagar Haveli and Daman and Diu 396193 INDIA",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,根据《总局关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）以及《关于“通过一致性评价”标识使用有关事宜的说明》，在本品小盒标签中新增“通过一致性评价”标识。,2025-10-18,国家药品监督管理局药品审评中心,已备案
国备2025002752,中文：帕利哌酮缓释片;英文/拉丁文：Paliperidone Extended-Release Tablets,国药准字HJ20220013,中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Sun House, Plot No. 201 B/1, Western Express Highway, Goregaon (E), Mumbai, Maharashtra 400063 INDIA",中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra, U.T. of Dadra and Nagar Haveli and Daman and Diu 396193 INDIA",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,根据《总局关于仿制药质量和疗效一致性评价工作有关事项的公告》（2017年第100号）以及《关于“通过一致性评价”标识使用有关事宜的说明》，在本品小盒标签中新增“通过一致性评价”标识。,2025-10-18,国家药品监督管理局药品审评中心,已备案
国备2025002286,中文：尼洛替尼胶囊;英文/拉丁文：Nilotinib Capsules,国药准字HJ20250068,中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit-VII, Plot Nos. Pl to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",中文名称：无;英文名称：Dr. Reddy´s Laboratories Limited,"Formulation Unit-VII, Plot Nos. Pl to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,"1、根据稳定性数据结果符合质量标准，现将本品有效期由“18个月”变更为“24个月”。
2、根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在尼洛替尼胶囊说明书和标签中增加“通过一致性评价”标识。",2025-09-11,国家药品监督管理局药品审评中心,已备案
国备2025001881,中文：环孢素滴眼液（Ⅲ）;英文/拉丁文：Ciclosporin Eye Drops（Ⅲ）,国药准字HJ20220043,中文名称：无;英文名称：Santen Oy,"Niittyhaankatu 20,33720 Tampere,Finland",中文名称：无;英文名称：EXCELVISION,"27 rue de la Lombardière, ZI la Lombardière, 07100 Annonay, France",参天制药（中国）有限公司,苏州工业园区汀兰巷169号,"1.将分包装方式由人工包装变更为半自动包装，同时关联外标签（小盒）结构和排版调整。
2.在外标签（小盒）上增加“分包装批号”的信息。",2025-08-01,国家药品监督管理局药品审评中心,已备案
国备2025002285,中文：尼洛替尼胶囊;英文/拉丁文：Nilotinib Capsules,国药准字HJ20250067,中文名称：无;英文名称：Dr. Reddy's Laboratories Limited,"Formulation Unit-VII, Plot Nos. Pl to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",中文名称：无;英文名称：Dr. Reddy´s Laboratories Limited,"Formulation Unit-VII, Plot Nos. Pl to P9, Phase-III, VSEZ, Duvvada, Visakhapatnam District 530046, Andhra Pradesh, India",昆山龙灯瑞迪制药有限公司,江苏省昆山开发区黄浦江中路2158号,"1、根据稳定性数据结果符合质量标准，现将本品有效期由“18个月”变更为“24个月”。
2、根据国家局《关于“通过一致性评价”标识使用有关事宜的说明》，在尼洛替尼胶囊说明书和标签中增加“通过一致性评价”标识。",2025-09-11,国家药品监督管理局药品审评中心,已备案
国备2025001752,中文：注射用丙戊酸钠;英文/拉丁文：Sodium Valproate for Injection,国药准字HJ20150085,中文名称：Sanofi Aventis Deutschland GmbH;英文名称：Sanofi Aventis Deutschland GmbH,"Brueningstrasse 50, D-65926 Frankfurt am Main, Deutschland, Germany",中文名称：SANOFI S.R.L.;英文名称：SANOFI S.R.L.,"Via Valcanello, 4-03012 ANAGNI(FR), Italy",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,变更本品进口大包装的包装规格描述：由再注册证（2024S05247）中进口大包装（H20150085）包装规格“1支/盒，另附1安瓿溶剂（4ml）x80瓶/箱” 变更为再注册证（2020S01060）中的进口大包装（H20150085）包装规格“1支/盒（另附1安瓿溶剂4ml）x80盒/箱”。,2025-07-15,国家药品监督管理局药品审评中心,已备案
国备2025002162,中文：注射用双羟萘酸曲普瑞林;英文/拉丁文：Triptorelin Pamoate for injection,国药准字HJ20130842,中文名称：无;英文名称：IPSEN PHARMA,70 rue Balard - 75015 Paris – France,中文名称：无;英文名称：IPSEN PHARMA BIOTECH,"Parc d'activités du Plateau de Signes, Chemin Départemental n°402-83870 SIGNES-FRANCE",益普生（天津）医药商贸有限公司,天津市和平区小白楼街大连道1号宝融大厦2号楼312室,"1. 更新本品说明书和包装盒上的上市许可持有人的地址，从65, Quai Georges Gorse-92100 BOULOGNE-BILLANCOURT-France 变更为 70 rue Balard - 75015 Paris – France, 邮政编码由92100变更为75015
2. 在本品的包装盒上增加“运动员慎用”
3. 包装盒侧面的英文公司名称“IPSEN”变更为中文“益普生”
4. 根据药监局下发最新说明书中【性状】，更新本品在包装盒上的【性状】",2025-08-30,国家药品监督管理局药品审评中心,已备案
国备2025001766,中文：奥利司他胶囊;英文/拉丁文：Orlistat Capsules,国药准字HJ20171188,中文名称：无;英文名称：Cheplapharm Arzneimittel GmbH,"Ziegelhof 24, 17489 Greifswald, Germany",中文名称：无;英文名称：Delpharm Milano S.r.l.,"Via Carnevale 1, 20054 Segrate (MI), Italy",武汉科利医药有限公司,湖北省武汉市武汉经济技术开发区201M地块华人汇和科技园（华中智谷)一期D4D5栋研发楼15层3室,本次申请备案为境外生产药品变更境内注册代理机构，由浙江医学科技开发有限公司变更为武汉科利医药有限公司。,2025-07-17,国家药品监督管理局药品审评中心,已备案
国备2025002143,中文：奥德昔巴特胶囊;英文/拉丁文：Odevixibat Capsules,国药准字HJ20240147,中文名称：-;英文名称：Ipsen Pharma,70 rue Balard - 75015 Paris – France,中文名称：-;英文名称：Patheon France,"40, Boulevard de Champaret Bourgoin-Jallieu, 38300 France",益普生（天津）医药商贸有限公司,天津市和平区小白楼街大连道1号宝融大厦2号楼312 室,"更新本品说明书和包装盒上上市许可持有人的地址，从65, Quai Georges Gorse-92100 BOULOGNE-BILLANCOURT-France 变更为 70 rue Balard - 75015 Paris – France",2025-08-28,国家药品监督管理局药品审评中心,已备案
