备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001082,中文：司库奇尤单抗注射液;英文/拉丁文：Secukinumab Injection,国药准字SJ20190023,中文名称：/;英文名称：Novartis Pharma Schweiz AG,"6343 Risch, Switzerland",中文名称：/;英文名称：Novartis Pharma Stein AG; Novartis Pharmaceutical Manufacturing GmbH,"Schaffhauserstrasse, 4332 Stein, Switzerland; Biochemiestraße 10, 6336 Langkampfen, Austria",北京诺华制药有限公司,北京市昌平区永安路31号,1.引入新工作细胞库用于生产司库奇尤单抗原液，对应更新相应资料模块；2.更正一个原液历史批次的稳定性数据，同时更新相应的原液稳定性报告；3.更新原液生产场所Novartis Pharmaceutical Manufacturing GmbH 的设施和设备章节以及平面图。,2025-05-21,国家药品监督管理局药品审评中心,已备案
Y国备2025000902,中文：莫匹罗星;英文/拉丁文：Mupirocin,Y20190009298,中文名称：无;英文名称：TAPI Hungary Industries Ltd.,"Pallagi Ut 13, Debrecen, 4042，Hungary",中文名称：无;英文名称：TAPI Hungary Industries Ltd.,"Pallagi Ut 13, Debrecen, 4042，Hungary",泰佩（北京）医药科技有限公司,北京市朝阳区建国路91号院9号楼8层807单元,注册代理机构由“梯瓦医药信息咨询（上海）有限公司”变更为“泰佩（北京）医药科技有限公司”；代理机构的注册地址由“上海静安区南京西路1717号57层03单元”变更为“北京市朝阳区建国路91号院9号楼8层807单元”。,2025-04-29,国家药品监督管理局药品审评中心,已备案
国备2025000974,中文：阿贝西利片;英文/拉丁文：Abemaciclib Tablets,国药准字HJ20200067,中文名称：----;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528BJ Utrecht, The Netherlands",中文名称：----;英文名称：Lilly del Caribe Inc.,"12.6 KM 65th Infantry Road, Carolina, Puerto Rico 00985",礼来苏州制药有限公司,苏州工业园区方中街109号,增加本品原料药的生产场地，同时相应更新本品生产工艺信息表：1. 新增Lonza AG作为原料药的生产商和质控场所，同时放大生产批量。2. 新增Eurofins Lancaster Laboratories作为原料药质控场所。,2025-05-09,国家药品监督管理局药品审评中心,经审查，本次备案事项1为变更制剂所用原料药的生产商，属于重大变更，请持有人参照相关技术指导原则完善研究内容后以补充申请形式递交。取消备案事项1“新增Lonza AG作为原料药的生产商和质控场所，同时放大生产批量”。
Y国备2025001077,中文：氟米龙;英文/拉丁文：Fluorometholone,Y20170000038,中文名称：无;英文名称：Sicor Societa’ Italiana Corticosteroidi S.r.l.,"Piazzale Luigi Cadorna, 4-20123 Milano (MI), Italy",中文名称：无;英文名称：Sicor Societa’ Italiana Corticosteroidi S.r.l.,"Via Terrazzano 77-20017 RHO (MI), Italy",泰佩（北京）医药科技有限公司,北京市朝阳区建国路91号院9号楼8层807单元,代理机构由梯瓦医药信息咨询（上海）有限公司变更为泰佩（北京）医药科技有限公司。,2025-05-21,国家药品监督管理局药品审评中心,已备案
Y国备2025000916,中文：依折麦布;英文/拉丁文：Ezetimibe,Y20200000952,中文名称：LUPIN LIMITED;英文名称：LUPIN LIMITED,"T-142, TARAPUR,VIA-BOISAR,THANE 401506 MAHARASHTRA STATE, INDIA",中文名称：LUPIN LIMITED;英文名称：LUPIN LIMITED,"T-142, TARAPUR,VIA-BOISAR,THANE 401506 MAHARASHTRA STATE, INDIA",颐德药业（上海）有限公司,中国（上海）自由贸易试验区华申路198号1幢四层C-22室,根据当前的稳定性数据，延长有效期。,2025-04-30,国家药品监督管理局药品审评中心,经审查，此次备案申请表中登记号填写有误，持有人已重新备案。取消本次备案。
Y国备2025001503,中文：吡非尼酮;英文/拉丁文：Pirfenidone,Y20200001363,中文名称：LUPIN MANUFACTURING SOLUTIONS LIMITED;英文名称：LUPIN MANUFACTURING SOLUTIONS LIMITED,"Block21,AT&POST.-DABHASA,TAL.-PADRA,DIST.VADODARA-391 440",中文名称：LUPIN MANUFACTURING SOLUTIONS LIMITED;英文名称：LUPIN MANUFACTURING SOLUTIONS LIMITED,"Unit-1, Plot No. P1-L1 within jubilant-SEZ at Plot No.-5, Vilayat-GIDC, Tal-Vagra-392012, District Bharuch, Gujarat India（5-甲基-2-吡啶酮中间体生产）；Block21,AT&POST.-DABHASA,TAL.-PADRA,DIST.VADODARA-391 440（吡非尼酮生产）",广州市桐晖药业有限公司,广州市黄埔区科学大道181号1201房1203房（仅限办公）,"申请变更吡非尼酮中间体（5-甲基-2-吡啶酮）的生产地址，由原地址Bhartiaram, Gajraula, District :Amroha, Uttar Pradesh- 244223 (UP), India.变更为Unit-1, Plot No. P1-L1 within jubilant-SEZ at Plot No.-5, Vilayat-GIDC, Tal-Vagra-392012, District Bharuch, Gujarat India",2025-06-21,国家药品监督管理局药品审评中心,已备案
国备2025000985,中文：地拉罗司颗粒;英文/拉丁文：Deferasirox Granules,国药准字HJ20240039,中文名称：————;英文名称：MSN Laboratories Private Limited,"Plot No. C-24,, Industrial Estate, Sanath Nagar,, Hyderabad, Telangana 500018 INDIA",中文名称：————;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Survey No.1277 & 1319 to 1324, Nandigama (Village & Mandal), Rangareddy District, Telangana 509228 INDIA",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,包装标签中增加英文注册商标JEDOXRED-S®。,2025-05-10,国家药品监督管理局药品审评中心,已备案
国备2025000984,中文：地拉罗司颗粒;英文/拉丁文：Deferasirox Granules,国药准字HJ20240038,中文名称：————;英文名称：MSN Laboratories Private Limited,"Plot No. C-24,, Industrial Estate, Sanath Nagar,, Hyderabad, Telangana 500018 INDIA",中文名称：————;英文名称：MSN Laboratories Private Limited,"Formulations Division, Unit-II, Survey No.1277 & 1319 to 1324, Nandigama (Village & Mandal), Rangareddy District, Telangana 509228 INDIA",瑞迪博士（北京）药业有限公司,北京市朝阳区建国路91号院8号楼15层1509单元,包装标签中增加英文注册商标JEDOXRED-S®。,2025-05-10,国家药品监督管理局药品审评中心,已备案
国备2025001385,中文：注射用厄他培南钠;英文/拉丁文：Ertapenem Sodium for Injection,国药准字HC20250005,中文名称：松瑞制药股份有限公司;英文名称：Savior Lifetec Corporation,"1，Nanke 6th Rd., Xinshi Dist., Tainan City 74144,Taiwan",中文名称：松瑞制药股份有限公司南科分公司针剂厂;英文名称：Savior Lifetec Corporation Tainan Branch Injection Plant,"4F.,12&16，Chuangye Rd., Xinshi Dist., Tainan City, 74144 ,Taiwan",深圳华润九新药业有限公司,深圳市福田区上梅林工业区凯丰路2号,"1、变更持有人注册地址：由“No. 29, Ke-Jhong Rd., Chunan Chen, Miaoli County 35053, Taiwan，China”变更为“1，Nanke 6th Rd., Xinshi Dist., Tainan City 74144,Taiwan”。2、本品包装标签上增加“通过一致性评价”标识。3、修改说明书中生产企业地址名称与批件正文的生产企业地址名称一致，为“4F.,12&16，Chuangye Rd., Xinshi Dist., Tainan City, 74144 ,Taiwan”。4、指定“深圳华润九新药业有限公司”为【境内责任人】，并在说明书中增加【境内责任人】相关信息，同时删除【境内联系机构】信息。",2025-06-11,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
Y国备2025001076,中文：醋酸氟轻松;英文/拉丁文：Fluocinonide,Y20190009029,中文名称：无;英文名称：Sicor Società Italiana Corticosteroidi S.r.l.,"Piazzale Luigi Cadorna, 4-20123 Milano (MI) , Italy",中文名称：无;英文名称：SIicor Società Italiana Corticosteroidi S.r.l.,"Via Terrazzano 77-20017 RHO (MI), Italy",泰佩（北京）医药科技有限公司,北京市朝阳区建国路91号院9号楼8层807单元,代理机构由梯瓦医药信息咨询（上海）有限公司变更为泰佩（北京）医药科技有限公司。,2025-05-21,国家药品监督管理局药品审评中心,已备案
