备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001134,中文：塞普替尼胶囊;英文/拉丁文：Selpercatinib Capsules,国药准字HJ20220078,中文名称：——;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, the Netherlands","中文名称：——;英文名称：Lilly del Caribe, Inc.","12.6 KM 65th Infantry Road(PR01), Carolina, Puerto Rico (PR) 00985, USA",礼来苏州制药有限公司,苏州工业园区方中街109号,申请将本品有效期从24个月延长到36个月，并同步将本品的“药品说明书”及“药品注册标准（标准号：JX20220104）”中的【有效期】更新为36个月。,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001133,中文：塞普替尼胶囊;英文/拉丁文：Selpercatinib Capsules,国药准字HJ20220077,中文名称：——;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, the Netherlands","中文名称：——;英文名称：Lilly del Caribe, Inc.","12.6 KM 65th Infantry Road(PR01), Carolina, Puerto Rico (PR) 00985, USA",礼来苏州制药有限公司,苏州工业园区方中街109号,申请将本品有效期从24个月延长到36个月，并同步将本品的“药品说明书”及“药品注册标准（标准号：JX20220104）”中的【有效期】更新为36个月。,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025000369,中文：香松通络油;英文/拉丁文：无,ZC20100013,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,中文名称：岭南药厂（香港）有限公司;英文名称：LING NAM MEDICINE FACTORY (H.K) LIMITED,新界屯门新安街18号怡华工业大厦13楼B座，19楼B座，20楼B座,广东富晖药业有限公司,广州市天河区黄埔大道西76号1902房、1903房,1、根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告信息申请修订香松通络油10ml说明书：增加境内责任人信息。2、根据《国家药监局关于药品信息化追溯体系建设的指导意见》国药监药管〔2018〕35号和关于发布《药品信息化追溯体系建设导则》《药品追溯码编码要求》两项信息化标准的公告（2019年第32号）申请对香松通络油10ml的最小包装盒、中盒、外箱增加药品追溯码。,2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002116,中文：维立西呱片;英文/拉丁文：Vericiguat Tablets,国药准字HJ20220050,中文名称：NA;英文名称：Bayer AG,"51368 Leverkusen, Germany",中文名称：NA;英文名称：Bayer AG,"Kaiser-Wilhelm-Allee, 51368 Leverkusen, Germany",拜耳医药保健有限公司,北京市北京经济技术开发区荣京东街7号,根据稳定性试验结果，延长维立西呱原料药的复验期。,2025-08-26,国家药品监督管理局药品审评中心,已备案
国备2025000035,中文：10%脂肪乳（OO）/5.5%氨基酸（15）/葡萄糖（20%）注射液;英文/拉丁文：10% Fat Emulsion(OO)/5.5% Amino Acids(15)/Glucose(20%) Injection,国药准字HJ20180019,中文名称：-;英文名称：BAXTER S.A.,"Bd. René Branquart 80, 7860 Lessines Belgium",中文名称：-;英文名称：BAXTER S.A.,"Bd. René Branquart 80, 7860 Lessines Belgium",百特医疗仪器设备（上海）有限公司,中国（上海）自由贸易试验区英伦路38号六层619室,变更境外生产药品的注册代理机构，由目前的广州百特侨光医疗用品有限公司变更为百特医疗仪器设备（上海）有限公司。,2025-01-11,国家药品监督管理局药品审评中心,已备案
国备2025000431,中文：羧基麦芽糖铁注射液;英文/拉丁文：Ferric Carboxymaltose Injection,国药准字HJ20220091,中文名称：/;英文名称：Vifor (International) Inc.,"Rechenstrasse 37, 9014 St. Gallen, Switzerland",中文名称：/;英文名称：IDT Biologika GmbH,"Am Pharmapark, 06861 Dessau-Rosslau, Germany",北京费森尤斯卡比医药有限公司,北京市大兴区中关村科技园区大兴生物医药产业基地华佗路57号,增加羧基麦芽糖铁注射液（规格：按Fe计 10mL:500mg）放行质量标准参数：粒径分布、游离（碳水化合物）配体、铁与结合配体的比值。,2025-03-12,国家药品监督管理局药品审评中心,已备案
国备2025000430,中文：羧基麦芽糖铁注射液;英文/拉丁文：Ferric Carboxymaltose Injection,国药准字HJ20220090,中文名称：/;英文名称：Vifor (International) Inc.,"Rechenstrasse 37, 9014 St. Gallen, Switzerland",中文名称：/;英文名称：IDT Biologika GmbH,"Am Pharmapark, 06861 Dessau-Rosslau, Germany",北京费森尤斯卡比医药有限公司,北京市大兴区中关村科技园区大兴生物医药产业基地华佗路57号,增加羧基麦芽糖铁注射液（规格：按Fe计 2mL:100mg）放行质量标准参数：粒径分布、游离（碳水化合物）配体、铁与结合配体的比值,2025-03-12,国家药品监督管理局药品审评中心,已备案
国备2025000062,中文：他克莫司注射液;英文/拉丁文：Tacrolimus Injection,国药准字HJ20150182,中文名称：无;英文名称：Astellas Pharma Co. Ltd.,"Damastown Road, Damastown Industrial Park, Mulhuddart, Dublin 15, Ireland",中文名称：无;英文名称：Astellas Ireland Co. Limited,"Killorglin, Co. Kerry, V93 FC86, Ireland",安斯泰来（中国）投资有限公司,北京市朝阳区建国门外大街8号楼27层2302单元27010室,申请增加他克莫司注射液商业批灌装批量，由15L溶液灌装放大至30L溶液灌装，生产工艺及时间不变。,2025-01-17,国家药品监督管理局药品审评中心,已备案
国备2025000063,中文：他克莫司注射液;英文/拉丁文：Tacrolimus Injection,国药准字HJ20150182,中文名称：无;英文名称：Astellas Pharma Co. Ltd.,"Damastown Road, Damastown Industrial Park, Mulhuddart, Dublin 15, Ireland",中文名称：无;英文名称：Astellas Ireland Co. Limited,"Killorglin, Co. Kerry, V93 FC86, Ireland",安斯泰来（中国）投资有限公司,北京市朝阳区建国门外大街8号楼27层2302单元27010室,申请增加他克莫司注射液商业批灌装批量，由15L溶液灌装放大至30L溶液灌装，生产工艺及时间不变。,2025-01-17,国家药品监督管理局药品审评中心,已备案
Y国备2025000049,中文：马来酸氟伏沙明;英文/拉丁文：Fluvoxamine Maleate,Y20200001243,中文名称：无;英文名称：Cohance Lifesciences Limited,"API Unit-III, Plot No. 3102/B, GIDC Estate, Ankleshwar-393002, Dist: Bharuch, Gujarat, India",中文名称：无;英文名称：Cohance Lifesciences Limited,"API Unit-III, Plot No. 3102/B, GIDC Estate, Ankleshwar-393002, Dist: Bharuch, Gujarat, India",上海佰利源医药科技有限公司,上海市闵行区颛兴东路1277弄54号402室,马来酸氟伏沙明原料药（登记号：Y20200001243）境外生产企业名称由：“ZCL Chemicals Limited”变更为“Cohance Lifesciences Limited”，实际生产地址不变。,2025-01-16,国家药品监督管理局药品审评中心,已备案
国备2025000357,中文：帕利哌酮缓释片;英文/拉丁文：Paliperidone Extended-Release Tablets,国药准字HJ20220013,中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Sun House, Plot No. 201 B/1, Western Express Highway, Goregaon (E), Mumbai, Maharashtra 400063 INDIA",中文名称：/;英文名称：Sun Pharmaceutical Industries Limited,"Survey No. 1012, Dadra, U.T. of Dadra and Nagar Haveli and Daman and Diu 396193 INDIA",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,"1.本品的生产地址信息描述由“Survey No. 259/15, Dadra, Union Territory of Dadra and Nagar Haveli 396191 INDIA”变更为“Survey No. 1012, Dadra, U.T. of Dadra and Nagar Haveli and Daman and Diu 396193 INDIA”，本品的生产企业和生产场地实际上未发生变更。
2.在本品的说明书和包装标签上，增加商标“利都”。
3.根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），指定本品境内责任人为“天津康哲维盛医药科技发展有限公司”，并删除说明书中【境内联系人】部分信息，新增【境内责任人】信息，含名称、地址、联系方式。
4.为了与CDE原辅包登记平台的登记信息一致，本品的辅料“白色欧巴代”、“黄色欧巴代”的名称规范为“薄膜包衣预混剂（胃溶型）”，所用辅料实际未发生变更。
根据上述变更，对本品的生产工艺信息表、说明书和包装标签进行相应修订。",2025-03-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
