备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025002399,"中文：布地格福吸入气雾剂;英文/拉丁文：Budesonide, Glycopyrronium Bromide and Formoterol Fumarate Inhalation Aerosol",国药准字HJ20190063,中文名称：/;英文名称：AstraZeneca AB,"SE-151 85 Södertälje, Sweden",中文名称：/;英文名称：ASTRAZENECA DUNKERQUE PRODUCTION,"224 Avenue de la Dordogne, Dunkerque 59640, France",阿斯利康投资（中国）有限公司,中国（上海）自由贸易试验区亮景路199号,新增已获得批准的原料药布地奈德的供应商，并按规定修订生产工艺信息表。,2025-09-23,国家药品监督管理局药品审评中心,已备案
国备2025002307,中文：特立氟胺片;英文/拉丁文：Teriflunomide Tablets,国药准字HJ20250085,中文名称：----;英文名称：Aurobindo Pharma Limited,"Galaxy, Floors: 22-24, Plot No. 1, Survey No. 83/1, Hyderabad KnowledgeCity, Raidurg Panmaktha, RangaReddyDistrict, Hyderabad, Telangana 500032 INDIA",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit VII, SEZ, TSIIC, Plot No. S1, Survey Nos: 411/P, 425/P, 434/P, 435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal, Mahaboobnagar District, Telangana INDIA",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,完善本品注册标准和放行标准中性状描述，增加“压印”描述，产品实际性状未发生变化。,2025-09-12,国家药品监督管理局药品审评中心,已备案
国备2025002261,中文：舒筋健络油;英文/拉丁文：Shu Gunn Jen Lok Medicated Oil,国药准字ZC20140011,中文名称：京都养生堂制药厂有限公司;英文名称：JING DU YANG SHENG TANG CHINESE HERBAL MANUFACTURING LIMITED,香港新界青衣长达路14-20号伟力工业大厦A座9楼1-12室,中文名称：京都养生堂制药厂有限公司;英文名称：JING DU YANG SHENG TANG CHINESE HERBAL MANUFACTURING LIMITED,香港新界青衣长达路14-20号伟力工业大厦A座9楼1-12室,海南爱欣药业有限公司,海南省海口市秀英区药谷二期药谷二路4号研发楼二楼,"18ml及50ml 包装规格外标签修订如下：
1、正面：“多种疼痛”、“肌肉疼痛”修订为“落枕颈痛”、“腰腿筋痛”；
2、右侧：【禁忌】相关内容修订为“【禁忌】孕妇、经期及哺乳期妇女禁用（详见说明书）”
3、背面：【功能主治】相关内容修订为“【功能主治】祛风活血，消肿止痛。主治肌肉酸痛，风湿骨痛，扭伤肿痛，关节酸痛，落枕颈痛，腰腿筋痛及蚊虫叮咬。”
4、左侧：英文版功能主治相应进行修订，不超出药品再注册批准通知书范围。
内标签 (面)修订如下：
5、功能主治内容修订为“祛风活血，消肿止痛。主治肌肉酸痛，风湿骨痛，扭伤肿痛，关节酸痛，落枕颈痛，腰腿筋痛及蚊虫叮咬”。
6、“药品批准文号：国药准字ZC20140011”修订为“国药准字ZC20140011”
内标签 (底)修订如下：
7、用法用量修订为：外用。用药油3-5滴，涂擦患处三次，用指尖在患处最酸痛的部位，进行适当的按摩、指压、推拿、按揉15-20分钟，先轻后重，以患者不感痛苦为宜。
说明书修订如下：
一、【功能主治】相应内容修订为“【功能主治】祛风活血，消肿止痛。主治肌肉酸痛，风湿骨痛，扭伤肿痛，关节酸痛，落枕颈痛，腰腿筋痛及蚊虫叮咬。”
二、【用法用量】相应内容修订为“【用法用量】外用。用药油3-5滴，涂擦患处三次，用指尖在患处最酸痛的部位，进行适当的按摩、指压、推拿、揉按15-20分钟，先轻后重，以患者不感痛苦为宜。”
三、【不良反应】相应内容修订为“【不良反应】监测数据显示，本品可见以下不良反应：瘙痒、刺痛、皮疹（如红斑、丘疹、水疱）、皮炎、皮肤红肿、皮肤发热、过敏、头晕等，极个别有全身不适。”
四、【禁忌】“01.孕妇禁用”修订为“01.孕妇、经期及哺乳期妇女禁用。”
五、【注意事项】相关内容修订为“【注意事项】
01.本品为外用药，禁止内服。
02.切勿接触眼睛、口腔等黏膜处，使用后即洗手。
03.患处红肿热痛及急性损伤者不宜使用。
04.忌食生冷、油腻食物。
05.高血压、心脏病、肝病、肾病等患者慎用，应在医师指导下使用。
06.有出血倾向者慎用。
07.糖尿病患者慎用，以防止使用不当引起皮肤损伤。
08.年老体弱者应在医师指导下使用。
09.本品含毒性药材生川乌、生附子、生天南星、生半夏，不宜长期或大面积使用。自行用药宜在7天以内，如用药超过7天，应向医师咨询。
10.用药后局部皮肤如出现瘙痒、刺痛、皮疹时，应停止使用，症状严重者应及时就医。 
11.若出现恶心、呕吐、腹痛、腹泻、头昏眼花、口舌、四肢及全身发麻，畏寒，或继之瞳孔散大，视觉模糊，呼吸困难，手足抽搐，躁动，大小便失禁即应停止使用，迅速去医院就诊。 
12.用药3天症状无缓解，应去医院就诊。
13.本品含有水杨酸甲酯，外用亦可经皮肤吸收到血液，对于服用华法林药物的患者过量使用该药，存在可能引起出血的风险；患有感冒、水痘或发热病的儿童应避免使用含有水杨酸甲酯的产品；遗传性葡萄糖－6－磷酸脱氢酶缺乏症患者、对水杨酸类药物过敏者慎用。 
14.过敏体质者慎用。
15.本品性状发生改变时禁止使用。
16.请将本品放在儿童不能接触的地方。 
17.如正在使用其他药品，使用本品前请咨询医师或药师。”
六、背面英文版说明书相应进行修订，不超出药品再注册批准通知书范围",2025-09-09,国家药品监督管理局药品审评中心,已备案
国备2025002262,中文：舒筋健络油;英文/拉丁文：Shu Gunn Jen Lok Medicated Oil,国药准字ZC20140010,中文名称：京都养生堂制药厂有限公司;英文名称：JING DU YANG SHENG TANG CHINESE HERBAL MANUFACTURING LIMITED,香港新界青衣长达路14-20号伟力工业大厦A座9楼1-12室,中文名称：京都养生堂制药厂有限公司;英文名称：JING DU YANG SHENG TANG CHINESE HERBAL MANUFACTURING LIMITED,香港新界青衣长达路14-20号伟力工业大厦A座9楼1-12室,海南爱欣药业有限公司,海南省海口市秀英区药谷二期药谷二路4号研发楼二楼,"3ml 包装规格外标签修订如下：
1、正面：“多种疼痛”、“肌肉疼痛”修订为“落枕颈痛”、“腰腿筋痛”；
2、右侧：【禁忌】相关内容修订为“【禁忌】孕妇、经期及哺乳期妇女禁用（详见说明书）”
3、背面：【功能主治】相关内容修订为“【功能主治】祛风活血，消肿止痛。主治肌肉酸痛，风湿骨痛，扭伤肿痛，关节酸痛，落枕颈痛，腰腿筋痛及蚊虫叮咬。”
4、左侧：英文版功能主治相应进行修订，不超出药品再注册批准通知书范围。
内标签修订如下：
5、“药品批准文号：国药准字ZC20140010”修订为“国药准字ZC20140010”
说明书修订如下：
一、【功能主治】相应内容修订为“【功能主治】祛风活血，消肿止痛。主治肌肉酸痛，风湿骨痛，扭伤肿痛，关节酸痛，落枕颈痛，腰腿筋痛及蚊虫叮咬。”
二、【用法用量】相应内容修订为“【用法用量】外用。用药油3-5滴，涂擦患处三次，用指尖在患处最酸痛的部位，进行适当的按摩、指压、推拿、揉按15-20分钟，先轻后重，以患者不感痛苦为宜。”
三、【不良反应】相应内容修订为“【不良反应】监测数据显示，本品可见以下不良反应：瘙痒、刺痛、皮疹（如红斑、丘疹、水疱）、皮炎、皮肤红肿、皮肤发热、过敏、头晕等，极个别有全身不适。”
四、【禁忌】“01.孕妇禁用”修订为“01.孕妇、经期及哺乳期妇女禁用。”
五、【注意事项】相关内容修订为“【注意事项】01.本品为外用药，禁止内服。
02.切勿接触眼睛、口腔等黏膜处，使用后即洗手。
03.患处红肿热痛及急性损伤者不宜使用。
04.忌食生冷、油腻食物。
05.高血压、心脏病、肝病、肾病等患者慎用，应在医师指导下使用。
06.有出血倾向者慎用。
07.糖尿病患者慎用，以防止使用不当引起皮肤损伤。
08.年老体弱者应在医师指导下使用。
09.本品含毒性药材生川乌、生附子、生天南星、生半夏，不宜长期或大面积使用。自行用药宜在7天以内，如用药超过7天，应向医师咨询。
10.用药后局部皮肤如出现瘙痒、刺痛、皮疹时，应停止使用，症状严重者应及时就医。 
11.若出现恶心、呕吐、腹痛、腹泻、头昏眼花、口舌、四肢及全身发麻，畏寒，或继之瞳孔散大，视觉模糊，呼吸困难，手足抽搐，躁动，大小便失禁即应停止使用，迅速去医院就诊。 
12.用药3天症状无缓解，应去医院就诊。
13.本品含有水杨酸甲酯，外用亦可经皮肤吸收到血液，对于服用华法林药物的患者过量使用该药，存在可能引起出血的风险；患有感冒、水痘或发热病的儿童应避免使用含有水杨酸甲酯的产品；遗传性葡萄糖－6－磷酸脱氢酶缺乏症患者、对水杨酸类药物过敏者慎用。 
14.过敏体质者慎用。
15.本品性状发生改变时禁止使用。
16.请将本品放在儿童不能接触的地方。 
17.如正在使用其他药品，使用本品前请咨询医师或药师。”
六、背面英文版说明书相应进行修订，不超出药品再注册批准通知书范围",2025-09-09,国家药品监督管理局药品审评中心,已备案
Y国备2025002821,中文：昔萘酸沙美特罗;英文/拉丁文：Salmeterol Xinafoate,Y20220000553,中文名称：INDUSTRIALE CHIMICA S.R.L.;英文名称：INDUSTRIALE CHIMICA S.R.L.,"Via E H Grieg, 13, Italy-21047 Saronno, Varese",中文名称：INDUSTRIALE CHIMICA S.R.L.;英文名称：INDUSTRIALE CHIMICA S.R.L.,"Via E H Grieg, 13, Italy-21047 Saronno, Varese",意赛迪斯（上海）企业管理咨询有限公司,上海市浦东新区绿科路90号1幢401室F座,1.新增起始物料供应商，起始物料质量不降低；2.变更步骤1使用的部分生产设备，材质、设计和工作原理不变,2025-10-30,国家药品监督管理局药品审评中心,已备案
国备2025002333,中文：螨变应原皮肤点刺试剂盒;英文/拉丁文：Mites Allergens Prick Solution,国药准字SJ20150031,中文名称：无;英文名称：ALK-Abello A/S,"Boge Alle 6-8, DK-2970 Horsholm, Denmark","中文名称：无;英文名称：ALK-ABELLO, S.A.","Miguel Fleta 19, Madrid, Spain",爱而开（上海）医疗技术有限公司,上海市徐汇区长乐路989号8层（名义楼层9层）04室,将本品注册标准中涉及引用2020版《中国药典》的部分更新为2025版《中国药典》的对应章节。,2025-09-17,国家药品监督管理局药品审评中心,已备案
国备2025002645,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20160023,中文名称：绿十字株式会社;英文名称：GC Biopharma Corp.,"586, Gwahaksaneop 2-ro, ochang-eup, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea ",中文名称：绿十字株式会社;英文名称：GC Biopharma Corp.,"586, Gwahaksaneop 2-ro, ochang-eup, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea ",安徽格林克医药销售有限公司,安徽省淮南市淮南经济技术开发区建设南路格林克医药销售药品综合仓库东南侧办公楼一、二层,1.质量标准的中国药典版本进行升级，将“《中国药典》（2020年版）”变更为“《中国药典》（2025年版）”；2.修订药品说明书，删除“境内联系人”，新增“境内责任人”；3.注册代理机构安徽格林克医药销售有限公司的地址由“安徽省淮南市淮南经济技术开发区建设南路”变更为“安徽省淮南市淮南经济技术开发区建设南路格林克医药销售药品综合仓库东南侧办公楼一、二层”；4.上市许可持有人绿十字株式会社的公司网址由“http://www.gccorp.com”变更为“https://www.gcbiopharma.com”。药品说明书、质量标准、制造和检定规程中相应内容也进行修改。,2025-10-11,国家药品监督管理局药品审评中心,已备案
国备2025002788,中文：噻托溴铵吸入喷雾剂;英文/拉丁文：Tiotropium Bromide Inhalation Spray,国药准字HJ20160227 & 国药准字HJ20160226,中文名称：Boehringer Ingelheim International GmbH;英文名称：Boehringer Ingelheim International GmbH,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",中文名称：Boehringer Ingelheim Pharma GmbH & Co. KG;英文名称：Boehringer Ingelheim Pharma GmbH & Co. KG,"Binger Strasse 173, 55216 Ingelheim am Rhein, Germany",勃林格殷格翰(中国)投资有限公司,中国（上海）自由贸易试验区李时珍路257号1号楼,申请进口药品在中国国内分包装：将在境外已完成内包装的噻托溴铵吸入喷雾剂在境内进行装说明书、装盒等外包装工序。境内分包装厂为上海勃林格殷格翰药业有限公司。本品进口小包装的批准文号为国药准字HJ20160227， 本地分包装与进口大包装共用批准文号为国药准字HJ20160226。,2025-10-24,国家药品监督管理局药品审评中心,已备案
国备2025002257,中文：活络油;英文/拉丁文：/,国药准字ZC20160011,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,说明书备案：按《药品再注册批准通知书》中审批结论要求修订不良反应项，修订为： 【不良反应】本品可见以下不良反应：瘙痒、皮疹、局部红肿、刺激、疼痛、接触性皮炎、过敏性皮炎、斑疹等过敏反应。,2025-09-09,国家药品监督管理局药品审评中心,已备案
国备2025002258,中文：活络油;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,说明书备案：按《药品再注册批准通知书》中审批结论要求修订不良反应项，修订为： 【不良反应】本品可见以下不良反应：瘙痒、皮疹、局部红肿、刺激、疼痛、接触性皮炎、过敏性皮炎、斑疹等过敏反应。,2025-09-09,国家药品监督管理局药品审评中心,已备案
