备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001308,中文：非那雄胺片;英文/拉丁文：Finasteride Tablets,国药准字HJ20230070,中文名称：---;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 & 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",中文名称：---;英文名称：Aurobindo Pharma Limited,"Unit III, Survey No. 313 & 314, Bachupally, Bachupally Mandal, Medchal-Malkajgiri District, Telangana State, INDIA.",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,修订说明书：（1）增加【境内责任人】信息；（2）删除【境内联系人】信息。,2025-06-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001306,中文：来曲唑片;英文/拉丁文：Letrozole Tablets,国药准字HJ20240008,中文名称：--;英文名称：Eugia Pharma Specialities Limited,"Sy No. 550, 551 & 552, Kolthur Village, Shamirpet Mandal, MedchalMalkajgiri District, Telangana, INDIA.",中文名称：--;英文名称：Eugia Pharma Specialities Limited,"Sy No. 550, 551 & 552, Kolthur Village, Shamirpet Mandal, MedchalMalkajgiri District, Telangana, INDIA.",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,修订说明书：删除【境内联系人】信息。,2025-06-06,国家药品监督管理局药品审评中心,已备案
国备2025001227,中文：盐酸缬更昔洛韦片;英文/拉丁文：Valganciclovir Hydrochloride Tablets,国药准字HJ20230121,中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P, 434/P, 435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal, Mahaboobnagar District, Telangana State, India.",中文名称：----;英文名称：Aurobindo Pharma Limited,"Unit-VII, SEZ, TSIIC, Plot No. S1, Survey No’s: 411/P, 425/P, 434/P, 435/P & 458/P, Green Industrial Park, Polepally Village, Jedcherla Mandal, Mahaboobnagar District, Telangana State, India.",安若维他药业泰州有限公司,泰州市医药高新区祥泰路196号,修订说明书：删除【境内联系人】信息。,2025-05-29,国家药品监督管理局药品审评中心,已备案
国备2025001790,中文：阿法骨化醇软胶囊;英文/拉丁文：Alfacalcidol Soft Capsules,国药准字HJ20130513,中文名称：无;英文名称：CHEPLAPHARM Arzneimittel GmbH,"Zieelhof 24, 17489 Greif'swald, Germany",中文名称：无;英文名称：Swiss Caps AG,"Husenstrasse 35, 9533 Kirchberg, Swizerland",青松医药集团股份有限公司,天津自贸试验区（空港经济区）领航路16号,"阿法骨化醇软胶囊的生产场地变更。
由LEO Pharma A/S（丹麦）和Swiss Caps AG（瑞士）生产，变更为在Swiss Caps AG（瑞士）同一场地生产。变更后，Swiss Caps AG（瑞士）将承担胶囊溶液配制、封装及最终包装的全流程生产任务。",2025-07-19,国家药品监督管理局药品审评中心,已备案
国备2025001214,中文：骨化三醇胶丸;英文/拉丁文：Calcitriol Soft Capsules,国药准字HJ20140598,中文名称：Atnahs Pharma UK Limited;英文名称：Atnahs Pharma UK Limited,"Sovereign House, Miles Gray Road, Basildon, Essex SS14 3FR, United Kingdom",中文名称：Catalent Germany Eberbach GmbH;英文名称：Catalent Germany Eberbach GmbH,"Gammelsbacher Straβe 2, 69412 Eberbach, Germany",法玛诺唯亚（上海）医药咨询有限责任公司,上海市长宁区延安西路500号2713室,增加包装规格100粒/盒。,2025-05-28,国家药品监督管理局药品审评中心,已备案
国备2025001190,中文：玛巴洛沙韦片;英文/拉丁文：Baloxavir Marboxil Tablets,国药准字HJ20210028,中文名称：N/A;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland","中文名称：N/A;英文名称：1）Shionogi Pharma Co., Ltd.；2）Avara Pharmaceutical Technologies, Inc.","1）2-5-1, Mishima, Settsu, Osaka 566-0022, Japan；2）3300 Marshall Avenue, Norman, Oklahoma (OK) 73072, USA",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,"在已批准的包装场地Sharp Packaging Services, LLC新增内包装和外包装的包装线",2025-05-27,国家药品监督管理局药品审评中心,已备案
国备2025001257,中文：盐酸乌拉地尔注射液;英文/拉丁文：Urapidil Hydrochloride Injection,国药准字HJ20160363,中文名称：无;英文名称：Takeda GmbH,"Byk-Gulden-Straβe2, 78467 Konstanz, Germany",中文名称：无;英文名称：Takeda Austria GmbH,St. Peter-Str.25 AT-4020 Linz Austria,武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,申请将本产品的中国境内注册代理机构由“武田药品（中国）有限公司”变更为“武田（中国）国际贸易有限公司”,2025-05-31,国家药品监督管理局药品审评中心,已备案
国备2025001137,中文：甲氧聚二醇重组人促红素注射液;英文/拉丁文：Methoxy Polyethylene Glycol-Epoetin Beta Injection,国药准字SJ20180007,中文名称：无;英文名称：Roche Pharma (Schweiz) AG,"Grenzacherstrasse 124, 4058 Basel, Switzerland",中文名称：无;英文名称：F. Hoffmann-La Roche AG,"Wurmisweg 4303 Kaiseraugst, Switzerland",罗氏（中国）投资有限公司,中国（上海）自由贸易试验区龙东大道1100号4号楼,更新标准品标定和稳定性方案。,2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025001237,中文：注射用丙戊酸钠 ;英文/拉丁文：Sodium Valproate for Injection,国药准字HJ20150084 国药准字HJ20150085,中文名称：/;英文名称：Sanofi Aventis Deutschland GmbH,"Brueningstrasse 50, D-65926 Frankfurt am Main, Deutschland, Germany",中文名称：/;英文名称：SANOFI S.R.L.,"Via Valcanello, 4-03012 ANAGNI(FR), Italy",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,申请更新本品说明书【不良反应】、【注意事项】（含警告）、【孕妇及哺乳期妇女用药】项下内容；对【用法用量】、【禁忌】、【注意事项】（含警告）、【药物相互作用】、【药理毒理】项下内容进行翻译用语规范；规范说明书内容，修订【药代动力学】为【临床药理】并置于【药理毒理】内容前。,2025-05-29,国家药品监督管理局药品审评中心,已备案
国备2025002704,中文：培塞利珠单抗注射液;英文/拉丁文：Certolizumab Pegol Injection,国药准字SJ20190031,中文名称：无;英文名称：UCB Pharma SA,"Allée de la Recherche 60, B-1070 Bruxelles, Belgium",中文名称：无;英文名称：Vetter Pharma-Fertigung GmbH & Co. KG,"Eisenbahnstrasse 2-4, 88085 Langenargen, Germany",优时比贸易（上海）有限公司,中国（上海）自由贸易试验区富特西一路439号317室,"本次备案申请更新生产制造检定规程内容：1. 修改生产制造检定规程内容，使生产制造检定规程与已批准的实际工艺保持一致 2. 修改编辑错误
以上均无实质性变更",2025-10-14,国家药品监督管理局药品审评中心,已备案
国备2025001495,中文：索磷布韦片;英文/拉丁文：Sofosbuvir Tablets,国药准字HJ20170365,中文名称：Gilead Sciences Ireland UC;英文名称：Gilead Sciences Ireland UC,"Carrigtohill, County Cork, T45 DP77, Ireland",中文名称：Gilead Sciences Ireland UC;英文名称：Gilead Sciences Ireland UC,"IDA Business & Technology Park, Carrigtohill, County Cork, Ireland",吉利德（上海）医药科技有限公司,中国（上海）自由贸易试验区世纪大道1198号31层,延长药品有效期至72个月，贮藏条件不变。同时更新说明书【有效期】。,2025-06-20,国家药品监督管理局药品审评中心,经审查，请持有人关注延长后有效期超过5年的变更立题合理性。取消本次备案事项。
国备2025001230,中文：波生坦片;英文/拉丁文：Bosentan Tablets,国药准字HJ20250019,中文名称：/;英文名称：Mylan S.p.A.,"Via Vittor Pisani 20, Milano - CAP 20124",中文名称：/;英文名称：Mylan Laboratories Ltd,"F-4 & F-12 MIDC, Malegaon, Sinnar, IN-422 113, Maharastra India",晖致医药有限公司,上海市静安区新闸路669号10层（实际楼层第9层）1-2单元及5-9单元,"1.申请对现行药品注册标准JX20250013正文后面所附“已知杂质信息”中杂质-A的化学名称、分子式、分子量和结构式进行勘误，以与实际药品注册标准复核和国外工厂检验实际情况相符。即将杂质-A的化学名称由“4-叔丁基-N-[6-羟基)-5-(2-甲氧基苯氧基)-2-(2-嘧啶基)-4-嘧啶基]苯磺酰胺”修订为“4-(叔丁基)-N-(6-羟基-5-(2-甲氧基苯氧基)-[2,2'-联嘧啶]-4-基)苯磺酰胺”、分子式由“C28H29N5O7S”修订为“C25H25N5O5S”、分子量由“579.65”修订为“507.57”。由于注册申表中申请内容无法输入结构式，更正后的结构式详见质量标准修订说明。 
2. 申请对生产工艺信息表中制剂批处方中辅料羧甲淀粉钠的工艺验证批用量和拟定商业生产批用量进行勘误，由3.054kg更正为3.053kg，以与工艺验证报告中实际用量相符。",2025-05-29,国家药品监督管理局药品审评中心,已备案
国备2025002260,中文：培哚普利氨氯地平片（III）;英文/拉丁文：Perindopril arginine and amlodipine besilate tablets （III）,国药准字HJ20180015,中文名称：无;英文名称：LES LABORATOIRES SERVIER,"50,rue Carnot, 92284 Suresnes Cedex",中文名称：无;英文名称：Servier (Ireland) Industries Ltd.,"Gorey Road, Arklow, Co. Wicklow",施维雅（天津）制药有限公司,天津经济技术开发区第十大街,本次申请为申请加入药品说明书适老化及无障碍改革试点，说明书的提供方法变更为：提供纸质版说明书（简化版）及电子版说明书（完整版）。,2025-09-09,国家药品监督管理局药品审评中心,已备案
